Region, Parent, Alias: Default, Alias: KOREAN ALIAS, Valid For Consolidations, Data Storage, Two Pass Calculation, Description, Formula, Formula Description, UDA, Smart List, Data Type, Hierarchy Type, Enable for Dynamic Children, Number of Possible Dynamic Children, Access Granted to Member Creator, Allow Upper Level Entity Input, Process Management Enabled, UUID, Data Id, Old Name, Old Unique Name, Plan Type (FinPlan), Aggregation (FinPlan), Data Storage (FinPlan), Formula (FinPlan), Solve Order (FinPlan), Formula Description (FinPlan), Plan Type (FinRPT), Aggregation (FinRPT), Data Storage (FinRPT), Formula (FinRPT), Solve Order (FinRPT), Formula Description (FinRPT), Operation
Total Region,Region,Total Region,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,d9969bc3-8168-4925-8f7a-2730e09f2c01,2289787929907133,Total Region,<none>,true,+,never share,<none>,0,,true,+,never share,<none>,0,,
All Region,Total Region,All Region,,false,dynamic calc,false,,<none>,<none>,,,unspecified,none,,,,false,true,d9bdd041-c0a0-440a-bb1d-c4217d6d67b5,2809083288375081,All Region,<none>,true,+,dynamic calc,<none>,0,,true,+,dynamic calc,<none>,0,,
US,All Region,US All,,false,dynamic calc,false,,<none>,<none>,,,unspecified,none,,,,false,true,f8606c43-1721-457a-9397-d22808e286dd,4169727777523721,US,<none>,true,+,dynamic calc,<none>,0,,true,+,dynamic calc,<none>,0,,
NY,US,New York,,false,dynamic calc,false,,<none>,<none>,,,unspecified,none,,,,false,true,4c6045ec-896e-42d5-86fc-b04ac2f87214,1830003547589175,NY,<none>,true,+,dynamic calc,<none>,0,,true,+,dynamic calc,<none>,0,,
R001,NY,City 1,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,db49d7da-5e90-4845-a2f1-7af3730955c5,3342836414038595,R001,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
R002,NY,City 2,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,b4c7f6dd-1007-437c-8afe-f82af278c13d,1877285825956889,R002,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
IL,US,Ilinois,,false,dynamic calc,false,,<none>,<none>,,,unspecified,none,,,,false,true,13f6d91b-94bd-4015-a657-68df0f2349aa,768755921735076,IL,<none>,true,+,dynamic calc,<none>,0,,true,+,dynamic calc,<none>,0,,
R101,IL,Chicago,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,5debfa1d-edae-4672-a0f1-28800aca42c8,3140508680208461,R101,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
R102,IL,City 4,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,da0b6eb4-7bb3-45ef-a849-825fce918684,1427465713960025,R102,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
R131,IL,R131,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,bca34327-80a2-4481-b1c4-260f3e8e0ebb,332545424639697,R131,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
KR,All Region,South Korea,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,70a58e6e-3fe4-48dd-8267-3c7b7cc65134,2198372730620295,KR,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
RU,All Region,Russia,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,e1c3eb20-707f-44dc-ad2b-c392c3d20a56,2636474038569923,RU,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
VT,All Region,Vietnam,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,03ac568b-878c-4801-ab27-4d5e4e8dc561,164073108097104,VT,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
All LineItem,Total Region,,,false,dynamic calc,false,,<none>,<none>,,,unspecified,none,,,,false,true,22e09391-4166-4eb3-9ab2-cadf819067d9,1851643499921685,All LineItem,<none>,true,+,dynamic calc,<none>,0,,true,+,dynamic calc,<none>,0,,
L1,All LineItem,,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,39b28bff-05aa-414c-b271-78f53f170409,2573284417883480,L1,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
L2,All LineItem,,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,18c13ec2-52e6-404a-8259-006b2eee4293,3111097138038303,L2,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
L3,All LineItem,,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,153c8dd3-610a-47b0-b393-2f34a2a1981b,1567694107003789,L3,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
L4,All LineItem,,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,0121a298-8943-4452-9d6d-968c20d90fcd,1746869499086650,L4,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
L5,All LineItem,,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,088a7a71-fa14-4e02-a66d-88f360b33634,2458005886225391,L5,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
L6,All LineItem,,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,4ccb1599-9420-4b49-ab74-ae6c85d9ab41,1958870150300594,L6,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
L7,All LineItem,,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,2fac476b-8c24-450d-a776-f851ade5cb21,1065268753877719,L7,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
L8,All LineItem,,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,3146cbae-0f68-4276-b7da-c46d1222a481,1203694374635360,L8,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
L9,All LineItem,,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,97e64960-bc9f-4897-ab66-363362469c1f,4060479326341142,L9,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
L10,All LineItem,,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,05a2f903-22e7-47dd-aa16-30eaa65f58cc,574463145099389,L10,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
No Region,Total Region,No Region,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,62ec73d5-cecf-43e0-bfe7-76963eba5e2e,2492627006934739,No Region,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
CHQFormat,Region,Chicago HQ Format,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,cae90e96-3eb7-425b-9a8c-8586eeb45b39,1482929572826727,CHQFormat,<none>,true,~,never share,<none>,0,,true,~,never share,<none>,0,,
HQ Reporting,Region,HQ Reporting,,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,90c54502-191c-44d9-9e01-5424f514ed83,1354187834019504,HQ Reporting,<none>,true,+,never share,<none>,0,,true,+,never share,<none>,0,,
